,group,r32,r16,qf,sf,final,champion,won_group
Spain,H,0.8055,0.6381,0.5145,0.3781,0.3781,0.2562,0.894
Argentina,J,0.7421,0.6114,0.4525,0.3153,0.3153,0.1959,0.8454
France,I,0.7837,0.5262,0.3604,0.1887,0.1887,0.0998,0.7153
England,L,0.7244,0.4519,0.2841,0.1434,0.1434,0.0703,0.6928
Colombia,K,0.5863,0.3396,0.1887,0.1064,0.1064,0.0544,0.3374
Portugal,K,0.6404,0.3774,0.1724,0.0942,0.0942,0.0402,0.5528
Brazil,C,0.5784,0.3749,0.1978,0.0883,0.0883,0.0381,0.5929
Germany,E,0.645,0.2966,0.1632,0.0671,0.0671,0.0284,0.6113
Australia,D,0.5284,0.2659,0.1082,0.0528,0.0528,0.0227,0.3676
Netherlands,F,0.4777,0.2908,0.1295,0.0542,0.0542,0.0214,0.5111
Japan,F,0.4463,0.2624,0.1159,0.0427,0.0427,0.0173,0.3762
Norway,I,0.4153,0.2069,0.1014,0.0403,0.0403,0.0164,0.1386
Mexico,A,0.6319,0.2817,0.1253,0.0443,0.0443,0.0163,0.6138
Ecuador,E,0.4912,0.2253,0.109,0.0414,0.0414,0.0162,0.2486
Morocco,C,0.4406,0.2595,0.1149,0.0445,0.0445,0.0156,0.3066
Croatia,L,0.4821,0.1833,0.0895,0.0357,0.0357,0.0131,0.2427
Uruguay,H,0.2768,0.1578,0.0815,0.0339,0.0339,0.0117,0.0911
Belgium,G,0.5687,0.268,0.0873,0.0367,0.0367,0.0114,0.5676
Switzerland,B,0.5053,0.2034,0.0682,0.0238,0.0238,0.0072,0.3797
United States,D,0.4412,0.18,0.053,0.0215,0.0215,0.0065,0.3515
Senegal,I,0.3432,0.1327,0.0505,0.0158,0.0158,0.0059,0.1256
South Korea,A,0.5093,0.1978,0.0678,0.0187,0.0187,0.0047,0.298
Turkey,D,0.2716,0.1037,0.0329,0.0132,0.0132,0.0046,0.1331
Austria,J,0.1666,0.0777,0.0318,0.0106,0.0106,0.0041,0.0635
Algeria,J,0.1697,0.0784,0.0273,0.0105,0.0105,0.0037,0.0784
Iran,G,0.3935,0.1487,0.0422,0.0148,0.0148,0.0036,0.2368
Scotland,C,0.2273,0.1031,0.0403,0.0136,0.0136,0.0036,0.0904
Canada,B,0.4551,0.1417,0.0331,0.0088,0.0088,0.0023,0.5041
Ivory Coast,E,0.2824,0.0891,0.0299,0.0083,0.0083,0.002,0.1299
Sweden,F,0.2153,0.0794,0.0246,0.0066,0.0066,0.002,0.1036
Panama,L,0.2176,0.0697,0.0223,0.0074,0.0074,0.0015,0.0587
Paraguay,D,0.2368,0.0797,0.0191,0.0055,0.0055,0.0009,0.1478
Uzbekistan,K,0.1517,0.0468,0.0126,0.0037,0.0037,0.0009,0.0619
Egypt,G,0.2542,0.0632,0.014,0.0029,0.0029,0.0003,0.1533
DR Congo,K,0.1,0.0245,0.0055,0.0014,0.0014,0.0003,0.0479
Jordan,J,0.045,0.016,0.0039,0.0009,0.0009,0.0002,0.0127
Bosnia and Herzegovina,B,0.1286,0.0191,0.0022,0.0004,0.0004,0.0001,0.0857
Iraq,I,0.0697,0.0149,0.003,0.0004,0.0004,0.0001,0.0205
Saudi Arabia,H,0.0373,0.0088,0.0009,0.0003,0.0003,0.0001,0.0076
Czech Republic,A,0.1966,0.0479,0.0096,0.0018,0.0018,0.0,0.0723
New Zealand,G,0.0927,0.0201,0.0036,0.0005,0.0005,0.0,0.0423
Cape Verde,H,0.0305,0.0049,0.0011,0.0002,0.0002,0.0,0.0073
Ghana,L,0.0212,0.0028,0.0005,0.0002,0.0002,0.0,0.0058
South Africa,A,0.0578,0.0107,0.0016,0.0001,0.0001,0.0,0.0159
Qatar,B,0.0462,0.0061,0.0008,0.0001,0.0001,0.0,0.0305
Haiti,C,0.026,0.006,0.0007,0.0,0.0,0.0,0.0101
Curaçao,E,0.0214,0.0022,0.0003,0.0,0.0,0.0,0.0102
Tunisia,F,0.0214,0.0032,0.0006,0.0,0.0,0.0,0.0091
